Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self               self     total           
 time   seconds   seconds     calls   s/call   s/call  name    
 31.95      1.00     1.00      5501     0.00     0.00  findSubanagrams(std::vector<tile, std::allocator<tile> > const&, char**, __int128*, int, int*)
  7.67      1.24     0.24                              _init
  6.39      1.44     0.20   3190573     0.00     0.00  wordToTiles(std::vector<tile, std::allocator<tile> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  2.88      1.53     0.09 131717349     0.00     0.00  std::vector<tile, std::allocator<tile> >::operator[](unsigned long) const
  2.88      1.62     0.09  78996516     0.00     0.00  tile* std::__niter_base<tile*>(tile*)
  2.24      1.69     0.07  23500154     0.00     0.00  std::vector<tile, std::allocator<tile> >::_S_max_size(std::allocator<tile> const&)
  1.92      1.75     0.06  23489152     0.00     0.00  tile* std::__relocate_a<tile*, tile*, std::allocator<tile> >(tile*, tile*, tile*, std::allocator<tile>&)
  1.92      1.81     0.06   7610952     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<tile, std::allocator<tile> >::_Vector_impl_data&)
  1.60      1.86     0.05  43779224     0.00     0.00  __gnu_cxx::new_allocator<tile>::_M_max_size() const
  1.60      1.91     0.05  19165408     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::~_Vector_base()
  1.60      1.96     0.05  11744576     0.00     0.00  void std::vector<tile, std::allocator<tile> >::_M_realloc_insert<tile const&>(__gnu_cxx::__normal_iterator<tile*, std::vector<tile, std::allocator<tile> > >, tile const&)
  1.28      2.00     0.04  38524919     0.00     0.00  std::vector<tile, std::allocator<tile> >::size() const
  1.28      2.04     0.04  16963118     0.00     0.00  void __gnu_cxx::new_allocator<tile>::construct<tile, tile const&>(tile*, tile const&)
  1.28      2.08     0.04   8457482     0.00     0.00  std::vector<tile, std::allocator<tile> >::vector(std::vector<tile, std::allocator<tile> > const&)
  1.28      2.12     0.04   3196073     0.00     0.00  evaluateEquivalentLength(std::vector<tile, std::allocator<tile> > const&, int*, float*)
  0.96      2.15     0.03  45670812     0.00     0.00  tile const& std::forward<tile const&>(std::remove_reference<tile const&>::type&)
  0.96      2.18     0.03  31946634     0.00     0.00  std::_Vector_base<tile, std::allocator<tile> >::_M_get_Tp_allocator() const
  0.96      2.21     0.03  23489152     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<tile, void>::value, tile*>::type std::__relocate_a_1<tile, tile>(tile*, tile*, tile*, std::allocator<tile>&)
  0.96      2.24     0.03  11744576     0.00     0.00  std::vector<tile, std::allocator<tile> >::_M_check_len(unsigned long, char const*) const
  0.96      2.27     0.03   8573800     0.00     0.00  std::vector<tile, std::allocator<tile> >::end() const
